雋 隽
楊 杨
闍 阇
鑌 镔
烏 乌
獎 奖
鵒 鹆
駕 驾
顔 颜
軛 轭
慚 惭
棟 栋
埡 垭
噠 哒
勣 绩
啢 唡
灤 滦
鳧 凫
齦 龈
篩 筛
穨 颓
奪 夺
鶓 鹋
濱 滨
審 审
櫳 栊
鏹 镪
鉸 铰
廻 回
驁 骜
斂 敛
脅 胁
澆 浇
瘋 疯
瀏 浏
餕 馂
搗 捣
減 减
憚 惮
蠟 蜡
殞 殒
眡 视
鈣 钙
関 关
炤 照
鬩 阋
歷 历
禪 禅
蔭 荫
諳 谙
絲 丝
堿 碱
旂 旗
證 证
廐 厩
巒 峦
祕 秘
臚 胪
賜 赐
闢 辟
煥 焕
鱧 鳢
姪 侄
蕭 萧
擬 拟
聯 联
揮 挥
詳 详
極 极
鑷 镊
卹 恤
勸 劝
釺 钎
掃 扫
肅 肃
祗 只
涇 泾
檉 柽
峴 岘
甌 瓯
鈎 钩
缐 线
鮓 鲊
鰒 鳆
貝 贝
樞 枢
鎣 蓥
嶧 峄
窩 窝
鬨 哄
來 来
攬 揽
燜 焖
銹 锈
錸 铼
盞 盏
禿 秃
騾 骡
慄 栗
諉 诿
韋 韦
衊 蔑
剎 刹
鱒 鳟
濛 蒙
泝 溯
詞 词
盡 尽
僥 侥
髩 鬓
魨 鲀
勦 剿
樓 楼
臯 皋
潰 溃
紕 纰
襴 襕
狹 狭
獸 兽
遺 遗
峽 峡
駿 骏
贇 赟
國 国
縑 缣
龐 庞
幃 帏
輛 辆
鸛 鹳
語 语
瘡 疮
膚 肤
醤 酱
鴝 鸲
斬 斩
謳 讴
貲 资
嚶 嘤
鈹 铍
鎸 镌
為 为
簽 签
鶼 鹣
餿 馊
闌 阑
繹 绎
駔 驵
敗 败
曖 暧
艙 舱
潛 潜
卻 却
櫞 橼
癡 痴
釤 钐
奐 奂
穩 稳
鯨 鲸
飪 饪
濰 潍
觴 觞
長 长
祿 禄
佔 占
謂 谓
鮍 鲏
纏 缠
錒 锕
嘔 呕
蕘 荛
趙 赵
漚 沤
蔞 蒌
鬢 鬓
羥 羟
犧 牺
閩 闽
鐨 镄
攆 撵
殭 僵
撳 揿
茲 兹
綹 绺
賃 赁
壋 垱
驌 骕
黏 粘
絎 绗
諗 谂
襖 袄
礎 础
駡 骂
